user,t_group,history_left_num,history_right_num,click_left_num,click_right_num,unclick_left_num,unclick_right_num,history_rate
U1,0,1,0,1,0,12,1,1.0
U100152,0,1,0,0,0,6,2,1.0
U100207,0,2,0,1,0,13,1,1.0
U100293,0,1,0,0,0,8,2,1.0
U100332,0,1,0,0,0,2,1,1.0
U100397,0,2,0,1,1,9,3,1.0
U100489,0,1,0,0,0,0,1,1.0
U100504,0,1,0,2,0,5,0,1.0
U100706,0,2,0,1,0,3,1,1.0
U10072,0,1,0,1,0,5,0,1.0
U100772,0,1,0,0,1,5,2,1.0
U100829,0,3,0,0,0,10,0,1.0
U10085,0,1,0,2,0,12,4,1.0
U100954,0,1,0,0,0,0,0,1.0
U100963,0,1,0,2,0,3,0,1.0
U100995,0,1,0,0,0,2,0,1.0
U101011,0,1,0,0,0,11,3,1.0
U101018,0,1,0,0,0,0,0,1.0
U101178,0,1,0,3,1,13,2,1.0
U10121,0,1,0,0,0,0,0,1.0
U101362,0,1,0,0,0,12,2,1.0
U101365,0,0,1,0,0,0,0,0.0
U10139,0,1,0,1,0,19,3,1.0
U101429,0,1,0,0,0,4,1,1.0
U101527,0,1,0,0,0,3,1,1.0
U10160,0,1,0,0,0,0,1,1.0
U101667,0,1,0,0,0,4,0,1.0
U101741,0,2,0,0,0,8,1,1.0
U101822,0,1,0,0,0,6,5,1.0
U101824,0,1,0,2,0,14,4,1.0
U101883,0,2,0,0,0,0,0,1.0
U101933,0,0,1,3,0,24,4,0.0
U101977,0,1,0,0,0,1,0,1.0
U102005,0,1,0,1,0,3,0,1.0
U10205,0,1,0,0,0,0,0,1.0
U102066,0,1,0,3,0,9,2,1.0
U102129,0,1,0,1,0,0,0,1.0
U102182,0,1,0,0,0,10,1,1.0
U102204,0,1,0,1,1,41,3,1.0
U102243,0,2,0,2,0,11,3,1.0
U102345,0,1,0,0,0,1,0,1.0
U102400,0,1,0,0,0,5,1,1.0
U102628,0,1,0,1,0,0,0,1.0
U102641,0,1,0,0,0,8,0,1.0
U102680,0,1,0,1,0,4,0,1.0
U102742,0,1,0,0,0,9,2,1.0
U102754,0,1,0,0,0,4,0,1.0
U102804,0,1,0,0,0,0,1,1.0
U102876,0,1,0,0,0,0,0,1.0
U102878,0,0,1,0,0,0,0,0.0
U102892,0,1,0,0,0,5,0,1.0
U102957,0,2,1,0,0,11,0,0.6666666666666666
U103006,0,2,0,0,0,7,0,1.0
U103138,0,1,0,0,0,3,1,1.0
U103141,0,1,0,0,1,14,0,1.0
U10324,0,2,0,3,0,19,4,1.0
U103346,0,1,0,2,1,9,1,1.0
U103349,0,2,1,3,0,23,2,0.6666666666666666
U103396,0,1,0,1,0,1,0,1.0
U10343,0,1,0,0,0,7,1,1.0
U103450,0,3,0,14,1,13,5,1.0
U103495,0,0,1,1,0,8,4,0.0
U103560,0,1,0,0,1,2,0,1.0
U103580,0,1,0,0,0,16,3,1.0
U103640,0,1,0,1,0,3,0,1.0
U103708,0,1,0,0,0,2,0,1.0
U103766,0,1,0,3,0,3,2,1.0
